SpanName,Issues,AbnormalAvgDuration,NormalAvgDuration,AbnormalSuccRate,NormalSuccRate,AbnormalP90,NormalP90,AbnormalP95,NormalP95,AbnormalP99,NormalP99
HTTP GET http://ts-ui-dashboard:8080/api/v1/verifycode/verify/{verifyCode},{},0.006932778666666667,0.00685378208018868,1.0,1.0,0.006865708200000001,0.0064827875,0.0091013198,0.007576757049999992,0.03614667060000008,0.02434356225999999
HTTP GET http://ts-ui-dashboard:8080/api/v1/assuranceservice/assurances/types,{},0.007621607454545454,0.007811325763636363,1.0,1.0,0.010225107,0.009566438,0.0104430505,0.0102841891,0.0106174053,0.015451965960000006
HTTP POST http://ts-ui-dashboard:8080/api/v1/preserveservice/preserve,"{""succ_rate"": {""normal"": 1.0, ""abnormal"": 0.5454545454545454, ""p_value"": 1.9834431252974127e-07, ""z_statistic"": 5.20088264892305, ""change_rate"": 0.4545454545454546, ""rate_drop"": 0.4545454545454546, ""slo_violated"": true}}",0.5894820851818181,0.3262989689272727,0.5454545454545454,1.0,2.13672868,0.5384881176,2.1854852085,0.8170711116999998,2.2244904313,1.1537647076800004
HTTP GET http://ts-ui-dashboard:8080/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},{},0.12349342842857143,0.0345008941125,1.0,1.0,0.06732345010000002,0.0609055547,0.0743069848,0.07032731249999999,1.7788458425400009,0.08760254455999998
HTTP GET http://ts-ui-dashboard:8080/api/v1/routeservice/routes,{},0.014293903414634147,0.01895820596954315,1.0,1.0,0.016616496,0.01945119,0.019173256,0.023826214399999986,0.035434874800000044,0.05836226979999953
HTTP PUT http://ts-ui-dashboard:8080/api/v1/consignservice/consigns,{},0.054594872,0.03701460188888889,1.0,1.0,0.054594872,0.040914904,0.054594872,0.041078682,0.054594872,0.0412097044
HTTP POST http://ts-ui-dashboard:8080/api/v1/orderservice/order/refresh,{},0.007838276931818182,0.009296488090425532,1.0,1.0,0.010656346500000004,0.0090915872,0.0132482725,0.010119309600000001,0.020497514570000003,0.041456860819999976
HTTP GET http://ts-ui-dashboard:8080/api/v1/trainservice/trains,{},0.008651496851851853,0.013663793267857143,1.0,1.0,0.011387178600000006,0.013298905599999999,0.0127642758,0.014861828399999997,0.016429334399999992,0.05144712515000001
HTTP POST http://ts-ui-dashboard:8080/api/v1/travelservice/trips/left,"{""avg_duration"": {""normal"": 0.13295335503278688, ""abnormal"": 3.9724329261666664, ""anomaly_score"": 0.0, ""change_rate"": 28.878395510869563, ""absolute_change"": 3.9724329261666664, ""slo_violated"": true}, ""p90_duration"": {""normal"": 0.210110227, ""abnormal"": 4.5431221532, ""anomaly_score"": 0.0, ""change_rate"": 19.710363476708366, ""absolute_change"": 4.5431221532, ""slo_violated"": true}, ""p95_duration"": {""normal"": 0.283208462, ""abnormal"": 4.57857138265, ""anomaly_score"": 0.0, ""change_rate"": 13.745681546900904, ""absolute_change"": 4.57857138265, ""slo_violated"": true}, ""succ_rate"": {""normal"": 1.0, ""abnormal"": 0.8333333333333334, ""p_value"": 0.0011506323944814323, ""z_statistic"": 3.250843345370606, ""change_rate"": 0.16666666666666663, ""rate_drop"": 0.16666666666666663, ""slo_violated"": true}}",3.9724329261666664,0.13295335503278688,0.8333333333333334,1.0,4.5431221532,0.210110227,4.57857138265,0.283208462,4.62335299413,0.5589791477999999
HTTP POST http://ts-ui-dashboard:8080/api/v1/users/login,{},0.10124046731034483,0.09915399251415094,1.0,1.0,0.116446557,0.1011684495,0.12260705570000001,0.10539840855,0.20885987772000011,0.2416776764799982
HTTP GET http://ts-ui-dashboard:8080/api/v1/consignservice/consigns/order/{id},{},0.010720998,0.011714267615384615,1.0,1.0,0.011700686,0.014897383000000002,0.011823147,0.016955391599999994,0.011921115800000001,0.019084992719999996
HTTP POST http://ts-ui-dashboard:8080/api/v1/orderOtherService/orderOther/refresh,{},0.00825557540909091,0.010818514414893617,1.0,1.0,0.0113197073,0.011628551200000002,0.0122923041,0.013436075950000003,0.024131264570000005,0.03049004993999986
HTTP GET http://ts-ui-dashboard:8080/api/v1/cancelservice/cancel/refound/{orderId},{},0.03754009,0.0568201206,1.0,1.0,0.03754009,0.1154194146,0.03754009,0.14181199779999998,0.03754009,0.16292606435999998
